                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.3581,                0.27114,                0.86358,                0.97391,                0.99827,                0.98906,                0.91893,                0.36555,                0.28597,                0.75288,              0.0007922,              0.0007922,              0.0007922
                     63,                0.35874,                0.26422,                0.86223,                  0.978,                      1,                0.98639,                0.91381,                0.37506,                0.28821,                0.75762,              0.0007724,              0.0007724,              0.0007724
                     64,                0.36541,                0.26797,                0.86632,                0.97342,                      1,                0.98604,                0.92079,                0.36607,                 0.2952,                0.75172,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.3485,                0.26047,                0.86393,                0.97559,                      1,                0.98686,                0.91879,                0.37071,                0.29332,                0.74921,              0.0007328,              0.0007328,              0.0007328
                     66,                0.34637,                 0.2559,                0.85973,                0.97886,                0.99067,                0.98873,                0.93105,                 0.3649,                0.27305,                0.74705,               0.000713,               0.000713,               0.000713
                     67,                0.34095,                0.25442,                0.86226,                0.97882,                0.98859,                0.98855,                   0.93,                0.34389,                0.27092,                0.73717,              0.0006932,              0.0006932,              0.0006932
                     68,                0.34182,                0.25813,                0.86825,                0.98356,                0.99465,                 0.9869,                0.93978,                0.34801,                0.27204,                0.73617,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.3456,                 0.2538,                0.86057,                 0.9786,                      1,                0.98024,                0.92791,                0.34624,                0.26559,                0.74273,              0.0006536,              0.0006536,              0.0006536
                     70,                0.34671,                0.25011,                0.85762,                0.97871,                      1,                0.98024,                 0.9101,                0.39211,                0.28251,                0.75822,              0.0006338,              0.0006338,              0.0006338
                     71,                0.34473,                  0.251,                0.85437,                0.97902,                0.99817,                0.98373,                0.92604,                0.34788,                0.28014,                 0.7565,               0.000614,               0.000614,               0.000614
                     72,                0.35746,                0.25663,                0.86587,                0.97741,                      1,                0.99055,                0.92318,                0.36162,                0.29802,                0.76549,              0.0005942,              0.0005942,              0.0005942
                     73,                 0.3447,                0.25369,                0.86072,                0.98255,                      1,                0.98705,                0.92929,                0.35427,                0.28383,                0.75869,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.3365,                0.24966,                0.85401,                0.98294,                      1,                0.98637,                 0.9286,                 0.3571,                0.27008,                0.75246,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.3431,                0.25204,                0.86384,                0.98281,                      1,                 0.9838,                0.93284,                0.33772,                0.24383,                0.73803,              0.0005348,              0.0005348,              0.0005348
                     76,                0.34352,                0.25421,                0.86322,                0.98359,                      1,                0.98417,                0.92796,                0.34207,                0.23783,                0.73714,               0.000515,               0.000515,               0.000515
